generation,num_individuals_total,loss_min,loss_avg,loss_max,fundamental_loss_min,fundamental_loss_avg,fundamental_loss_max,toots_loss_min,toots_loss_avg,toots_loss_max,brightness_loss_min,brightness_loss_avg,brightness_loss_max
22,1000,7.750587007194052,8.248089126767399,8.534929225049105,0.009546667064235237,0.2006033089368211,0.6923203552965074,0.016456363803647456,0.24373272086424214,0.7256410298571003,7.024516914121293,7.803753096966335,8.377168171678976
23,1000,7.6371289764030506,8.17853377472744,8.505786744618087,0.009546667064235237,0.229757017255531,0.7502987313164944,0.016456363803647456,0.2706828934214969,0.7256410298571003,7.024516914121293,7.678093864050412,8.235779011755003
24,1000,7.6371289764030506,8.16876786030573,8.501714457169033,0.009546667064235237,0.2445894438022025,0.7502987313164944,0.016456363803647456,0.2632092439142013,0.7256410298571003,7.024516914121293,7.660969172589324,8.235779011755003
25,1000,7.6371289764030506,8.119099832559796,8.408786996090331,0.009546667064235237,0.24744112875087243,0.8081995442684864,0.016456363803647456,0.28267171716993,0.7256410298571003,7.024516914121293,7.588986986638993,8.19524433721091
26,1000,7.6371289764030506,8.088552346711595,8.367576251288298,0.009546667064235237,0.26968685918907154,0.8081995442684864,0.016456363803647456,0.30581272487724953,0.7256410298571003,6.993134808555253,7.513052762645273,8.028772919180678
27,1000,7.6371289764030506,8.08647150433577,8.339929611571216,0.009546667064235237,0.3095603788418555,0.8660230014019277,0.016456363803647456,0.2954248373735293,0.7256410298571003,6.993134808555253,7.481486288120384,8.028772919180678
28,1000,7.6371289764030506,8.009808177880066,8.310468456183878,0.009546667064235237,0.27557474852430053,0.8081995442684864,0.016456363803647456,0.2356607399258579,0.6050787492730603,6.995006032795753,7.498572689429909,8.028772919180678
29,1000,7.6371289764030506,7.9389388230439595,8.161170909367478,0.009546667064235237,0.17910585082750874,0.6923203552965074,0.016456363803647456,0.22388570227112803,0.6050787492730603,6.995006032795753,7.535947269945322,8.028772919180678
30,1000,7.6371289764030506,7.911936555560783,8.09511395776906,0.009546667064235237,0.1931391882612994,0.6923203552965074,0.016456363803647456,0.2691206363077243,0.7905373760069523,6.995006032795753,7.449676730991759,8.028772919180678
31,1000,7.6371289764030506,7.897598838485121,8.073546709100512,0.009546667064235237,0.15307569936413623,0.5761300808803238,0.016456363803647456,0.2604206087679155,0.7905373760069523,6.995006032795753,7.48410253035307,8.028772919180678
32,1000,7.193223899143948,7.849297042095069,8.030311373752204,0.009546667064235237,0.16093988798355907,0.5761300808803238,0.016456363803647456,0.25862615145110235,0.7238792823322937,6.995006032795753,7.4297310026604055,7.771896565528113
